timestamp,id_cursa,id_camion,locatie_start,locatie_stop,distanta_km,ora_start,viteza_medie_curenta,conditii_meteo,intensitate_trafic,volum_marfa_m3,ett_real_min
12/1/2025 16:09,18,18,DEP_BV,DEP_TM,319.3,17:33:00,50.6,Senin,88,50.5,305.1
12/3/2025 11:31,53,13,HUB_CLJ,HUB_BUC,305.6,8:37:00,78.3,Senin,10,47.2,308
11/28/2025 22:58,11,11,DEP_GL,DEP_TM,250,0:14:00,78.5,Senin,10,47.6,294.6
12/3/2025 7:17,95,15,HUB_IASI,DEP_AG,418.4,1:57:00,66.6,Senin,74,50.6,505.2
12/2/2025 16:12,38,18,DEP_TM,DEP_AG,317.1,12:36:00,67.4,Senin,70,13,322.8
12/3/2025 12:47,128,8,DEP_AG,HUB_BUC,207.4,12:19:00,78.7,Senin,10,10.4,211.5
11/29/2025 20:47,44,4,HUB_BUC,HUB_IASI,385.5,15:59:00,83,Senin,10,23.1,485.7
12/5/2025 11:01,135,15,HUB_IASI,DEP_CT,349.1,9:17:00,82,Senin,10,16.1,324.6
12/2/2025 4:53,51,11,HUB_IASI,DEP_CT,252.5,2:21:00,83.9,Senin,10,29,277.1
12/1/2025 6:21,64,4,HUB_CLJ,DEP_BV,387.4,4:03:00,48.4,Senin,81,14.1,448.8
12/1/2025 8:44,15,15,DEP_BV,HUB_IASI,295.3,4:26:00,76.2,Senin,10,14.5,379.1
12/1/2025 2:23,64,4,HUB_CLJ,DEP_BV,387.4,4:03:00,71.8,Senin,12,14.1,448.8
11/28/2025 22:53,3,3,HUB_IASI,DEP_TM,320.3,21:17:00,75.2,Senin,11,53.2,312.5
12/2/2025 16:22,50,10,DEP_GL,DEP_AG,360,16:34:00,64.9,Senin,73,27,342.2
11/28/2025 20:21,3,3,HUB_IASI,DEP_TM,320.3,21:17:00,79.8,Senin,10,53.2,312.5
12/3/2025 7:58,54,14,DEP_AG,HUB_BUC,270.7,6:52:00,63.8,Senin,79,21.8,238.7
12/3/2025 3:55,95,15,HUB_IASI,DEP_AG,418.4,1:57:00,77.3,Senin,10,50.6,505.2
11/28/2025 12:55,2,2,HUB_BUC,DEP_BV,292.9,10:29:00,77,Senin,10,11.8,360.6
12/3/2025 17:04,126,6,DEP_TM,DEP_CT,292.9,16:32:00,83.7,Senin,10,28.4,337.3
11/30/2025 11:24,25,5,DEP_GL,HUB_BUC,442.3,6:26:00,76.6,Senin,10,42,439
12/1/2025 6:05,82,2,HUB_BUC,DEP_TM,345.1,1:31:00,54.3,Senin,84,16.9,406.5
12/1/2025 13:34,81,1,HUB_CLJ,DEP_TM,150.4,14:12:00,77.7,Senin,10,36.8,189.5
12/2/2025 13:37,91,11,DEP_TM,HUB_CLJ,288.4,14:45:00,83.5,Senin,10,20.8,345.9
12/2/2025 19:43,92,12,DEP_BV,DEP_AG,416.4,15:59:00,78.9,Senin,10,25.4,410.3
12/3/2025 15:33,96,16,HUB_IASI,HUB_CLJ,297.2,13:41:00,52.2,Senin,95,13,329.5
11/29/2025 23:15,24,4,DEP_AG,HUB_IASI,294.9,19:45:00,78,Senin,6,15.5,340.1
11/29/2025 14:25,41,1,HUB_CLJ,DEP_BV,318.6,13:25:00,56,Senin,93,16.1,395.7
12/1/2025 9:07,17,17,HUB_CLJ,DEP_CT,130.7,11:03:00,82.5,Senin,10,23.8,150
12/2/2025 16:44,31,11,DEP_CT,DEP_BV,240.6,13:44:00,62,Senin,85,28.9,297.7
12/2/2025 13:24,108,8,HUB_BUC,DEP_AG,224.4,13:32:00,81.4,Senin,10,52.4,222.5
12/1/2025 21:24,29,9,DEP_TM,DEP_GL,321.6,21:38:00,79.8,Senin,10,24.4,344
11/29/2025 18:05,5,5,DEP_BV,HUB_BUC,375.6,14:21:00,81.8,Senin,10,41.1,453.7
11/30/2025 19:33,47,7,HUB_CLJ,DEP_GL,378,19:11:00,77,Senin,10,18.3,448.2
12/3/2025 1:53,56,16,HUB_IASI,DEP_BV,390.9,3:23:00,74.2,Senin,17,16.4,494
11/30/2025 17:58,27,7,HUB_BUC,HUB_CLJ,296.3,15:52:00,82.7,Senin,10,24.5,289.7
11/28/2025 20:03,3,3,HUB_IASI,DEP_TM,320.3,21:17:00,81.9,Senin,10,53.2,312.5
12/2/2025 9:26,75,15,DEP_BV,DEP_GL,328.5,9:36:00,81.2,Senin,10,44.3,353.4
