AWB,Origin,Destination,FinalLocation,Timestamp
AWBQCCXGM/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBQCCXGM/2,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBQCCXGM/3,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBMUB0CI/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBMUB0CI/2,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBRBXQ5/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBRBXQ5/2,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBBFDUU9/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB82SGAC/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB559TR9/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB559TR9/2,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB559TR9/3,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBHELJI/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBHELJI/2,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBQ4WBUN/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBQ4WBUN/2,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBA6IKHH/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBA6IKHH/2,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB5HTH48/1,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB5HTH48/2,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBTESRVQ/1,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBTESRVQ/2,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBX2SX4/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBX2SX4/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBX2SX4/3,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBHVG2FU/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBHVG2FU/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBSW6PYQ/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBSW6PYQ/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB3BPMIO/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBOWQ8S/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBOWQ8S/2,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBOWQ8S/3,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB0BGV6/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBG99OK/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWB38BKP/1,HUB_ORADEA,HUB_ARAD,HUB_ARAD,Fri Jan 30 00:18:17 EET 2026
AWBUKC3E/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBLG1EK9/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB2F91O3/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB2F91O3/2,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBGMUPIB/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBGMUPIB/2,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWBGMUPIB/3,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB3NW7ZI/1,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB3NW7ZI/2,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB3NW7ZI/3,HUB_ARAD,HUB_TIMISOARA,HUB_TIMISOARA,Fri Jan 30 00:18:17 EET 2026
AWB4Y3M6/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB4Y3M6/2,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBME8IE/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBME8IE/2,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBME8IE/3,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBUCP6B/1,HUB_CONSTANTA,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBB2Z5ZB/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBB2Z5ZB/2,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBB2Z5ZB/3,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWBDEGC4L/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB0XUA7/1,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB0XUA7/2,HUB_BACAU,HUB_CLUJ,HUB_CLUJ,Fri Jan 30 00:18:17 EET 2026
AWB1QOOGOF/1,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB1QOOGOF/2,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB1QOOGOF/3,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB4IB8AO/1,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB0AQXN/1,HUB_BUCURESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB45OORJ/1,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB45OORJ/2,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB45OORJ/3,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBRUOR86/1,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBRUOR86/2,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBRUOR86/3,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBSACP7/1,HUB_PLOIESTI,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB5XRS9F/1,HUB_CONSTANTA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB0JL52R/1,HUB_CONSTANTA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWB4HQN3R/1,HUB_CONSTANTA,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBMOQMA/1,HUB_OTOPENI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBFZVW1L/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB9W8Z2M/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB9W8Z2M/2,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB9W8Z2M/3,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBK8MZ7/1,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBK8MZ7/2,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBK8MZ7/3,HUB_PLOIESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB9T8ZX6/1,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBBF462S/1,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBBF462S/2,HUB_SIBIU,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBQL72Z/1,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBQL72Z/2,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBQL72Z/3,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBX7TF69/1,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBX7TF69/2,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBX7TF69/3,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBKHQOKMJ/1,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBKHQOKMJ/2,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBKHQOKMJ/3,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBV3B9F5/1,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBV3B9F5/2,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBV3B9F5/3,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBD4WXBS/1,HUB_BRASOV,HUB_PITESTI,HUB_PITESTI,Fri Jan 30 00:18:17 EET 2026
AWBKY0O7Q/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBKY0O7Q/2,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBRHEY9C/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBG9JQQ/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWB2MBS1/1,HUB_BRASOV,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBV4AHBR/1,HUB_PITESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBV4AHBR/2,HUB_PITESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBBWD33I/1,HUB_PITESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBBWD33I/2,HUB_PITESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBBWD33I/3,HUB_PITESTI,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB1MKXEL/1,HUB_SIBIU,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWB1MKXEL/2,HUB_SIBIU,HUB_BUCURESTI,HUB_BUCURESTI,Fri Jan 30 00:18:17 EET 2026
AWBIE1CP/1,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
AWBIE1CP/2,HUB_CLUJ,HUB_SIBIU,HUB_SIBIU,Fri Jan 30 00:18:17 EET 2026
