AWB_ID,Origin,Final_Destination,Part,Total,Weather,Timestamp
AWB1R1B9S,HUB_BUCURESTI,HUB_ORADEA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB1R1B9S,HUB_BUCURESTI,HUB_ORADEA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBC6CUU,HUB_BUCURESTI,HUB_CONSTANTA,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBE0M6S,HUB_BUCURESTI,HUB_PLOIESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBE0M6S,HUB_BUCURESTI,HUB_PLOIESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBP3NCS,HUB_BUCURESTI,HUB_CONSTANTA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBP3NCS,HUB_BUCURESTI,HUB_CONSTANTA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBHDTSIP,HUB_BUCURESTI,HUB_PLOIESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB6BPHR1,HUB_BUCURESTI,HUB_PLOIESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBQ11ZFL,HUB_BUCURESTI,HUB_SIBIU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBT7MGTK,HUB_BUCURESTI,HUB_PITESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBT7MGTK,HUB_BUCURESTI,HUB_PITESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBIF8DA9,HUB_BUCURESTI,HUB_BACAU,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBIF8DA9,HUB_BUCURESTI,HUB_BACAU,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBKOPPNO,HUB_BUCURESTI,HUB_OTOPENI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBKOPPNO,HUB_BUCURESTI,HUB_OTOPENI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBKOPPNO,HUB_BUCURESTI,HUB_OTOPENI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBA0FC0J,HUB_BUCURESTI,HUB_BACAU,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBA0FC0J,HUB_BUCURESTI,HUB_BACAU,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBTVPCQO,HUB_BUCURESTI,HUB_PLOIESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBDDV8O,HUB_BUCURESTI,HUB_CRAIOVA,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBNIA1GO,HUB_BUCURESTI,HUB_TIMISOARA,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB7W949Q,HUB_BUCURESTI,HUB_ARAD,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWB7W949Q,HUB_BUCURESTI,HUB_ARAD,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWB7W949Q,HUB_BUCURESTI,HUB_ARAD,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQVZJ3,HUB_BUCURESTI,HUB_TIMISOARA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBQVZJ3,HUB_BUCURESTI,HUB_TIMISOARA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBQXUOHG,HUB_BUCURESTI,HUB_PLOIESTI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQXUOHG,HUB_BUCURESTI,HUB_PLOIESTI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQXUOHG,HUB_BUCURESTI,HUB_PLOIESTI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBO9NQAU,HUB_BUCURESTI,HUB_ARAD,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBTPA3IS,HUB_BUCURESTI,HUB_BRASOV,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBTPA3IS,HUB_BUCURESTI,HUB_BRASOV,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB2TF46,HUB_BUCURESTI,HUB_OTOPENI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB2TF46,HUB_BUCURESTI,HUB_OTOPENI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBLNYD4N,HUB_BUCURESTI,HUB_CONSTANTA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBLNYD4N,HUB_BUCURESTI,HUB_CONSTANTA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBOTCK5,HUB_OTOPENI,HUB_TIMISOARA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBOTCK5,HUB_OTOPENI,HUB_TIMISOARA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBF5SITO,HUB_OTOPENI,HUB_GALATI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBNC36ZD,HUB_OTOPENI,HUB_CRAIOVA,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB5K8OBP,HUB_OTOPENI,HUB_BUCURESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB5K8OBP,HUB_OTOPENI,HUB_BUCURESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBLEMCVM,HUB_OTOPENI,HUB_ARAD,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBLEMCVM,HUB_OTOPENI,HUB_ARAD,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBLEMCVM,HUB_OTOPENI,HUB_ARAD,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBHOPMY,HUB_OTOPENI,HUB_IASI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBVPQ58P,HUB_OTOPENI,HUB_IASI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBVPQ58P,HUB_OTOPENI,HUB_IASI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBVPQ58P,HUB_OTOPENI,HUB_IASI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBZDPNJ,HUB_OTOPENI,HUB_CONSTANTA,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBZDPNJ,HUB_OTOPENI,HUB_CONSTANTA,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBZDPNJ,HUB_OTOPENI,HUB_CONSTANTA,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQSTH1S,HUB_OTOPENI,HUB_ARAD,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQSTH1S,HUB_OTOPENI,HUB_ARAD,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQSTH1S,HUB_OTOPENI,HUB_ARAD,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNL5N0R,HUB_OTOPENI,HUB_BUCURESTI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNL5N0R,HUB_OTOPENI,HUB_BUCURESTI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNL5N0R,HUB_OTOPENI,HUB_BUCURESTI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNFMQH,HUB_OTOPENI,HUB_BRASOV,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNFMQH,HUB_OTOPENI,HUB_BRASOV,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBNFMQH,HUB_OTOPENI,HUB_BRASOV,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBCEO9ZQ,HUB_OTOPENI,HUB_CRAIOVA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBCEO9ZQ,HUB_OTOPENI,HUB_CRAIOVA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBKKWYZ9,HUB_OTOPENI,HUB_TIMISOARA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBKKWYZ9,HUB_OTOPENI,HUB_TIMISOARA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBYR52JS,HUB_OTOPENI,HUB_BACAU,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBYR52JS,HUB_OTOPENI,HUB_BACAU,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBYR52JS,HUB_OTOPENI,HUB_BACAU,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBHK6JP6,HUB_OTOPENI,HUB_SIBIU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBCTBWUP,HUB_OTOPENI,HUB_SIBIU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBOHE9CC,HUB_OTOPENI,HUB_IASI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBQQHQX,HUB_OTOPENI,HUB_PLOIESTI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQQHQX,HUB_OTOPENI,HUB_PLOIESTI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBQQHQX,HUB_OTOPENI,HUB_PLOIESTI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWB2K5IF,HUB_OTOPENI,HUB_ARAD,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB0CX2S8,HUB_OTOPENI,HUB_IASI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB4Q1XD6,HUB_OTOPENI,HUB_IASI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBC4WB1,HUB_OTOPENI,HUB_GALATI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBH1QZI,HUB_OTOPENI,HUB_PLOIESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBH1QZI,HUB_OTOPENI,HUB_PLOIESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBILC8C,HUB_OTOPENI,HUB_GALATI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBILC8C,HUB_OTOPENI,HUB_GALATI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBLQDVA6,HUB_OTOPENI,HUB_GALATI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBGR2EAR,HUB_OTOPENI,HUB_PLOIESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBGR2EAR,HUB_OTOPENI,HUB_PLOIESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBH2RFY,HUB_OTOPENI,HUB_ORADEA,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBH2RFY,HUB_OTOPENI,HUB_ORADEA,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBH2RFY,HUB_OTOPENI,HUB_ORADEA,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBH2JT0E,HUB_OTOPENI,HUB_BACAU,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBH2JT0E,HUB_OTOPENI,HUB_BACAU,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBH2JT0E,HUB_OTOPENI,HUB_BACAU,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBOYNSJE,HUB_OTOPENI,HUB_CONSTANTA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBOYNSJE,HUB_OTOPENI,HUB_CONSTANTA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB0R988,HUB_OTOPENI,HUB_PLOIESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB0R988,HUB_OTOPENI,HUB_PLOIESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBAGO8KAB,HUB_OTOPENI,HUB_ARAD,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBAGO8KAB,HUB_OTOPENI,HUB_ARAD,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBAGO8KAB,HUB_OTOPENI,HUB_ARAD,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBHGWK3,HUB_OTOPENI,HUB_PITESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBHGWK3,HUB_OTOPENI,HUB_PITESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBZQK8MH,HUB_OTOPENI,HUB_ARAD,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBZQK8MH,HUB_OTOPENI,HUB_ARAD,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBZQK8MH,HUB_OTOPENI,HUB_ARAD,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWB44LIM5,HUB_OTOPENI,HUB_IASI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB44LIM5,HUB_OTOPENI,HUB_IASI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB4GQBBS,HUB_OTOPENI,HUB_BACAU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB44VS2,HUB_OTOPENI,HUB_GALATI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBBANGEP,HUB_OTOPENI,HUB_CONSTANTA,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBL7ZWIP,HUB_OTOPENI,HUB_IASI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBL7ZWIP,HUB_OTOPENI,HUB_IASI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBL7ZWIP,HUB_OTOPENI,HUB_IASI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBBKDIN,HUB_OTOPENI,HUB_PLOIESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBFJMTPE,HUB_OTOPENI,HUB_CLUJ,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBFJMTPE,HUB_OTOPENI,HUB_CLUJ,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB2Q1SGO,HUB_OTOPENI,HUB_BACAU,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWB2Q1SGO,HUB_OTOPENI,HUB_BACAU,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWB2Q1SGO,HUB_OTOPENI,HUB_BACAU,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBKHIH2I,HUB_OTOPENI,HUB_PLOIESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBH6K23R,HUB_OTOPENI,HUB_PITESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBSVP80A,HUB_OTOPENI,HUB_PITESTI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBSVP80A,HUB_OTOPENI,HUB_PITESTI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB1V3SAD,HUB_OTOPENI,HUB_BACAU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBX0KQ8O,HUB_OTOPENI,HUB_ARAD,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBX0KQ8O,HUB_OTOPENI,HUB_ARAD,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWB0P4W3L,HUB_OTOPENI,HUB_BUCURESTI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBF0535,HUB_OTOPENI,HUB_GALATI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBF0535,HUB_OTOPENI,HUB_GALATI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBF0535,HUB_OTOPENI,HUB_GALATI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBYNIX5U,HUB_PLOIESTI,HUB_OTOPENI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBYNIX5U,HUB_PLOIESTI,HUB_OTOPENI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBYNIX5U,HUB_PLOIESTI,HUB_OTOPENI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBT94U6,HUB_PLOIESTI,HUB_CONSTANTA,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWBT94U6,HUB_PLOIESTI,HUB_CONSTANTA,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBO6B3PP,HUB_PLOIESTI,HUB_BUCURESTI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBO6B3PP,HUB_PLOIESTI,HUB_BUCURESTI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBO6B3PP,HUB_PLOIESTI,HUB_BUCURESTI,3,3,SUNNY,2026-01-22T04:00:00.000Z
AWBSMKSH7,HUB_PLOIESTI,HUB_IASI,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWB09SQ5C,HUB_PLOIESTI,HUB_IASI,1,2,SUNNY,2026-01-22T04:00:00.000Z
AWB09SQ5C,HUB_PLOIESTI,HUB_IASI,2,2,SUNNY,2026-01-22T04:00:00.000Z
AWBEXKGL9,HUB_PLOIESTI,HUB_SIBIU,1,1,SUNNY,2026-01-22T04:00:00.000Z
AWBTPNQWJ,HUB_PLOIESTI,HUB_GALATI,1,3,SUNNY,2026-01-22T04:00:00.000Z
AWBTPNQWJ,HUB_PLOIESTI,HUB_GALATI,2,3,SUNNY,2026-01-22T04:00:00.000Z
AWBTPNQWJ,HUB_PLOIESTI,HUB_GALATI,3,3,SUNNY,2026-01-22T04:00:00.000Z
