AWB_ID,Origin,Final_Destination,Part,Total,Weather,Timestamp
AWBB9N8I,HUB_BRASOV,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWB7858YU,HUB_CRAIOVA,HUB_GALATI,1,1,SUNNY,2026-01-27T18:00:00
AWBTQMD6K,HUB_PLOIESTI,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWBAJ1GK,HUB_CLUJ,HUB_ARAD,1,1,SUNNY,2026-01-27T18:00:00
AWB13IKW,HUB_IASI,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWB564SX,HUB_PLOIESTI,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWBVOVVK,HUB_CONSTANTA,HUB_ORADEA,1,1,SUNNY,2026-01-27T18:00:00
AWBNM9FZC,HUB_PITESTI,HUB_BRASOV,1,1,SUNNY,2026-01-27T18:00:00
AWBN4LI1,HUB_SIBIU,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWBMM8VJB,HUB_IASI,HUB_BRASOV,1,1,SUNNY,2026-01-27T18:00:00
AWB06P6XA,HUB_GALATI,HUB_ARAD,1,1,SUNNY,2026-01-27T18:00:00
AWB8IDYC,HUB_TIMISOARA,HUB_BACAU,1,1,SUNNY,2026-01-27T18:00:00
AWB8QDTNW,HUB_GALATI,HUB_IASI,1,1,SUNNY,2026-01-27T18:00:00
AWBKT9Z93,HUB_TIMISOARA,HUB_BACAU,1,1,SUNNY,2026-01-27T18:00:00
AWBFKSAM,HUB_ARAD,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWB8CQSGB,HUB_ORADEA,HUB_OTOPENI,1,1,SUNNY,2026-01-27T18:00:00
AWB4IUWFC,HUB_ARAD,HUB_BUCURESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBUQ00728S,HUB_ARAD,HUB_CLUJ,1,1,SUNNY,2026-01-27T18:00:00
AWB8F6P6V,HUB_GALATI,HUB_TIMISOARA,1,1,SUNNY,2026-01-27T18:00:00
AWBAW8B0H,HUB_GALATI,HUB_OTOPENI,1,1,SUNNY,2026-01-27T18:00:00
AWBVW9F8J,HUB_IASI,HUB_ARAD,1,1,SUNNY,2026-01-27T18:00:00
AWBPCI1HJ,HUB_BUCURESTI,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWBG2V3CC,HUB_CONSTANTA,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWB0ALBQ,HUB_GALATI,HUB_SIBIU,1,1,SUNNY,2026-01-27T18:00:00
AWBK3I5TO,HUB_BACAU,HUB_ARAD,1,1,SUNNY,2026-01-27T18:00:00
AWBQ73PDJ,HUB_OTOPENI,HUB_PITESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBF70KY,HUB_OTOPENI,HUB_ARAD,1,1,SUNNY,2026-01-27T18:00:00
AWBXT1Y8,HUB_GALATI,HUB_BRASOV,1,1,SUNNY,2026-01-27T18:00:00
AWBD5PI2L,HUB_BUCURESTI,HUB_GALATI,1,1,SUNNY,2026-01-27T18:00:00
AWBSTIQSM,HUB_PITESTI,HUB_SIBIU,1,1,SUNNY,2026-01-27T18:00:00
AWBQPRJ1N,HUB_ARAD,HUB_BRASOV,1,1,SUNNY,2026-01-27T18:00:00
AWB5VA29J,HUB_GALATI,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWBSDSLMQ,HUB_BRASOV,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWBJWF5QO,HUB_CONSTANTA,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWBAA9P7E,HUB_TIMISOARA,HUB_IASI,1,1,SUNNY,2026-01-27T18:00:00
AWBVHXITG,HUB_TIMISOARA,HUB_PITESTI,1,1,SUNNY,2026-01-27T18:00:00
AWB5LWUG2T,HUB_IASI,HUB_PITESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBBYVIHD,HUB_CLUJ,HUB_OTOPENI,1,1,SUNNY,2026-01-27T18:00:00
AWBJ0Y2U5,HUB_ARAD,HUB_CRAIOVA,1,1,SUNNY,2026-01-27T18:00:00
AWB71EADO,HUB_PITESTI,HUB_PLOIESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBY3I3TD,HUB_ORADEA,HUB_TIMISOARA,1,1,SUNNY,2026-01-27T18:00:00
AWB2ZIPT,HUB_CONSTANTA,HUB_OTOPENI,1,1,SUNNY,2026-01-27T18:00:00
AWBTTZ03J,HUB_CLUJ,HUB_GALATI,1,1,SUNNY,2026-01-27T18:00:00
AWBPFEAAK,HUB_CRAIOVA,HUB_CONSTANTA,1,1,SUNNY,2026-01-27T18:00:00
AWBL1068Q,HUB_IASI,HUB_SIBIU,1,1,SUNNY,2026-01-27T18:00:00
AWBGZ0YGU,HUB_CONSTANTA,HUB_TIMISOARA,1,1,SUNNY,2026-01-27T18:00:00
AWBE2688,HUB_GALATI,HUB_PLOIESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBUU4TVJ,HUB_CONSTANTA,HUB_IASI,1,1,SUNNY,2026-01-27T18:00:00
AWB4BOQRC,HUB_BRASOV,HUB_PLOIESTI,1,1,SUNNY,2026-01-27T18:00:00
AWBCMPURR,HUB_OTOPENI,HUB_IASI,1,1,SUNNY,2026-01-27T18:00:00
